album,year,cover,tracklist
Feed The Streets,2015,https://images.genius.com/4e517a802d8a79225b6c54dc09199fae.640x640x1.jpg,"[""It's a Pound (Tec: Feed The Streets edition) byChiefKeef (Ft.Tadoe), "", 'Almighty Sosa (Slam Dunkin: Feed The Streets Edition) byChiefKeef, ']"
Finally Rollin 2,2015,https://images.genius.com/166ebcbfd5304060da327eae786487b7.1000x1000x1.jpg,"[""Stuntin' Like My Mama byChiefKeef, "", 'Foes byChiefKeef, ', 'Black Ops byChiefKeef, ', 'Law & Order byChiefKeef, ', 'Who Dat byChiefKeef, ', 'Obama byChiefKeef, ', 'Flattered byChiefKeef, ', ""Gettin' Wild byChiefKeef, "", 'Get Your Mind Right byChiefKeef, ', 'Chicago Zoo byChiefKeef, ', ""Early Morning Gettin' It byChiefKeef, "", 'I�m da Man byChiefKeef, ', 'X byChiefKeef, ', 'Madder byChiefKeef, ', 'In Your Face byChiefKeef, ', 'Flex byChiefKeef, ', 'Dismiss byChiefKeef, ', 'Jumanji byChiefKeef, ', 'Where Ya At? byChiefKeef, ']"
Nobody 2,2015,https://images.genius.com/723d67a6c0531a87a829cbf78ba2d19b.600x600x1.jpg,"['Intro (Nobody 2) by12Hunna, ', 'Tony Hawk byChiefKeef, ', 'Phone byChiefKeef, ', 'Sex With Me byChiefKeef, ', ""Coolin' byChiefKeef, "", 'Born to Flex byChiefKeef, ', 'Andale byChiefKeef, ', 'Nobody Skit by12Hunna (Ft.12Hunna), ', 'Anywhere byChiefKeef, ', 'WDFHDF byChiefKeef, ', 'Shooters byChiefKeef, ', 'Hit the Bank byChiefKeef, ', 'They Know Skit by12Hunna, ', 'In the Stu byChiefKeef, ', 'Louie Bag byChiefKeef, ', 'Mirror byChiefKeef, ', 'Take Me Down byChaboki, ']"
Thot Breaker,2017,https://images.genius.com/e0b7d9a99faab73f300f6e56d7a4d206.1000x1000x1.jpg,"['Alone (Intro) byChiefKeef, ', 'Can You Be My Friend byChiefKeef, ', 'My Baby byChiefKeef, ', 'You & Me byChiefKeef, ', 'Whoa byChiefKeef, ', 'Couple of Coats byChiefKeef, ', 'Grab a Star byChiefKeef, ', 'You My Number One byChiefKeef, ', 'So Cal byChiefKeef, ', 'Drank Head byChiefKeef, ', 'My Head byChiefKeef, ', 'Slow Dance byChiefKeef (Ft.YoungChop), ', 'Going Home byChiefKeef, ']"
The W,2017,https://images.genius.com/45506ca6778f7ed3c08e4f99b8399e67.596x596x1.png,"[""Call'N byChiefKeef, "", 'Germs byChiefKeef, ', 'Hot (The W) byChiefKeef, ', 'How You Like Me Now byChiefKeef, ', 'Milk Me byChiefKeef, ', 'Never Had a Job byFredoSantana (Ft.ChiefKeef), ', 'No ID byChiefKeef (Ft.DooWop(GBE)), ', 'Too Fast byChiefKeef (Ft.TraySavage), ', 'Musty byChiefKeef (Ft.Ballout & LilBibby), ', 'Hardly byChiefKeef, ']"
Dedication,2017,https://images.genius.com/78c5dc174dddfad73d6d55b06e47b3a0.1000x1000x1.png,"['Ticket byChiefKeef, ', 'Keke Palmer byChiefKeef, ', 'Mailbox byChiefKeef, ', 'Cook byChiefKeef, ', 'Bad byChiefKeef (Ft.Tadoe), ', 'Text byChiefKeef, ', 'Glory Bridge byChiefKeef (Ft.ABoogie wit da Hoodie), ', 'Get It byChiefKeef, ', 'Negro byChiefKeef, ', 'Less Speed byChiefKeef, ', 'Come On Now byChiefKeef (Ft.LilYachty), ', 'Kills byChiefKeef, ', ""Told Y'all byChiefKeef, "", 'Let Me See byChiefKeef (Ft.Tadoe), ', 'Be Back byChiefKeef, ']"
The leek vol 4,2018,https://images.genius.com/6d3058bc595ce725a39d9035151a7f13.640x640x1.jpg,"['Upset byChiefKeef, ', 'Run Up byChiefKeef, ', 'Macaroni Time (Remix) byChiefKeef, ', 'Sosa Pain byChiefKeef, ', 'Rolls (Rozey) byChiefKeef, ', 'Blocka byChiefKeef, ', 'Squidward Tentacles byChiefKeef, ', 'Kane byChiefKeef (Ft.Tadoe), ', 'TT byChiefKeef, ', 'Tats byChiefKeef, ', 'Instagram byChiefKeef, ', 'So Cold byChiefKeef, ', 'Wake Up byChiefKeef, ', ""Can't Catch 'Em byChiefKeef, "", 'Foreigns byChiefKeef, ']"
The leek vol 5,2018,https://images.genius.com/cdbacef6493bc9e91bd3b04ad76ae2bb.600x600x1.jpg,"['She a Freak byChiefKeef, ', ""Can't Wait byChiefKeef (Ft.Tadoe), "", 'New Trap byChiefKeef, ', 'Office byChiefKeef, ', 'Cocky byChiefKeef, ', 'Rounds byChiefKeef, ', 'Traumatized byChiefKeef, ', 'Mac 10 byChiefKeef, ', 'Almoney byChiefKeef, ', 'Excited byChiefKeef, ', 'Pardon Em byChiefKeef, ', 'ESPN byChiefKeef, ', 'Action byChiefKeef, ', 'Nemo byChiefKeef, ', 'Ya Know byChiefKeef, ', 'Freak byChiefKeef, ', 'Flexin byChiefKeef, ']"
the GloFiles pt1,2018,https://images.genius.com/2a0fb08ca4e93ddac0b2ba2c57706f17.1000x1000x1.jpg,"['Dolo byChiefKeef, ', 'Stars (2014) byChiefKeef, ', 'Outerspace Glo byChiefKeef, ', 'Dipset byChiefKeef, ', ""Carolina byRalph'sOne (Ft.ChiefKeef & Pollari), "", 'Long byChiefKeef (Ft.Tadoe), ', 'Binoculars byChiefKeef, ', 'Hell Yeah byChiefKeef, ', 'Respect byChiefKeef, ', 'Yeah byChiefKeef, ', 'Police byChiefKeef, ', 'Me (GloFiles Pt. 1) byChiefKeef, ', 'We Want War byChiefKeef (Ft.FredoSantana & LilReese), ']"
The GloFiles pt2,2018,https://images.genius.com/70d192f1fb4fa3c8260a770504b86cc7.1000x1000x1.jpg,"['I Got byChiefKeef, ', 'According to My Watch byChiefKeef, ', 'In My Mode byChiefKeef, ', 'Light Heist byChiefKeef, ', 'Driver byChiefKeef, ', 'Fookah byChiefKeef, ', 'In My Cup byChiefKeef, ', 'Some byChiefKeef, ', 'Sued byChiefKeef, ', 'Pay Day byChiefKeef (Ft.Tadoe & Terintino), ', 'Face byChiefKeef, ', 'She Like byChiefKeef, ', 'That Is Not byChiefKeef, ']"
